Model,CV RMSE,CV MAE,CV R2,Validation RMSE,Validation MAE,Validation R2,Training Time
GradientBoostingRegressor,4.1533324098735935,3.2296313974496185,0.871755493566597,4.110467389581425,3.1955056179505434,0.8706198856782629,103.08687090873718
Ridge,4.185815906047371,3.206836680341167,0.8697409520469261,4.139607042034368,3.171628459869318,0.8687789977458442,1.8003621101379395
LinearRegression,4.186148661514192,3.208260014125279,0.8697203801850177,4.140607698992206,3.1750673828125,0.868715550622545,2.084716796875
RandomForestRegressor,4.226944053362928,3.3192635714285714,0.8671668333169549,4.16204848101669,3.265559166666667,0.8673524033095664,315.5303075313568
ExtraTreesRegressor,4.245387523359775,3.336815178571429,0.8660045606782498,4.174482179464498,3.2852066666666664,0.8665586769590368,246.78623127937317
Lasso,4.301502786765259,3.3984520104234797,0.8624464236452066,4.237807695071973,3.3389835507041425,0.8624794480161752,1.995344638824463
XGBRegressor,4.281598180611438,3.317886553219387,0.8637149572372437,4.238221938191007,3.294200842857361,0.8624525666236877,4.354384660720825
