Model,3-Fold CV RMSE,3-Fold CV MAE,3-Fold CV R2,Training Time,5-Fold CV RMSE,5-Fold CV MAE,5-Fold CV R2,Validation RMSE,Validation MAE,Validation R2
LinearRegression,361870282924.5806,357568385032.0588,-3.640962207392231e+16,1.0729339122772217,,,,,,
Ridge,1261.1642006875397,937.4450439284478,0.8516418615442806,1.0420241355895996,1261.9154209736394,939.3892438621066,0.8514511384433409,1215.4176452731695,909.620256283761,0.860092846418819
GradientBoostingRegressor,1258.1563369987769,936.0487369317921,0.8523535329177601,39.85377025604248,1256.0953238977963,935.09789833912,0.8528246226296725,1221.8855147462639,914.8673505015078,0.8585998469774454
XGBRegressor,1235.1618130677264,915.6022522181488,0.8577094255350097,3.8338661193847656,1237.2756247845086,916.5230858042096,0.8572054998592378,1197.7359136801774,894.5171707181817,0.8641339371299213
