Model,Training Time,3-Fold CV RMSE,3-Fold CV MAE,3-Fold CV R2,5-Fold CV RMSE,5-Fold CV MAE,5-Fold CV R2,Validation RMSE,Validation MAE,Validation R2
LinearRegression,2.497908592224121,725.7081873884571,629.3510537960702,-0.002173243847736724,725.6457008102586,629.3239469178083,-0.002079933971309833,722.2227928120185,625.255051369863,-0.0017588102926662241
Ridge,1.7083237171173096,725.6784602415346,629.3344331398374,-0.002090980743581531,725.6671367398493,629.3476163666721,-0.002139438004684946,722.2158496046297,625.2417751684885,-0.0017395492396807821
RandomForestRegressor,5.4798078536987305,737.4434736109241,636.2572996436538,-0.03485758236967618,,,,,,
ExtraTreesRegressor,4.177327871322632,744.0765500236289,640.3325937921591,-0.05354430295187466,,,,,,
GradientBoostingRegressor,4.615743160247803,725.1948761852526,628.9642601886923,-0.0007550693433534909,725.2318561219894,628.9657379313788,-0.0009323928752217103,721.7311507051085,624.8982607033339,-0.00039541056678449316
XGBRegressor,2.9809770584106445,733.5661203546251,633.6404522434846,-0.02399269739786784,,,,,,
