Model,CV Accuracy,CV Precision Macro,CV Recall Macro,CV F1 Macro
GradientBoostingClassifier,0.9766101694915255,0.9734057971014494,0.9618425147836913,0.9646282407476438
LogisticRegression,0.9766666666666666,0.9585185185185185,0.9589414713253722,0.958044014163417
RandomForestClassifier,0.9666101694915253,0.9423906989696464,0.9422051861680345,0.9415055665952213
ExtraTreesClassifier,0.9665536723163841,0.9506808688387636,0.9359952168001705,0.9406161625788823
DecisionTreeClassifier,0.9632203389830508,0.9373015873015873,0.9369534948482316,0.9319853005530755
