Model,Training Time,3-Fold CV RMSE,3-Fold CV MAE,3-Fold CV R2,5-Fold CV RMSE,5-Fold CV MAE,5-Fold CV R2,Validation RMSE,Validation MAE,Validation R2
LinearRegression,0.09355878829956055,4345.797830910277,2937.5066721360267,0.8572375355651091,,,,,,
Ridge,0.0949087142944336,4345.686141409655,2937.990798642022,0.857244522528314,,,,,,
RandomForestRegressor,1.6192176342010498,3811.8044494109377,2202.4116283266335,0.8902850322641306,3779.361445282767,2201.256004854016,0.8914255592284983,4587.404109386599,2297.394195114022,0.8734094419497815
ExtraTreesRegressor,1.1174626350402832,3864.8193732307923,2237.9554747919206,0.8870669490778985,3777.0044542469986,2226.734486960995,0.8916957097534446,4833.6399191848095,2364.753891075674,0.8594548365140641
GradientBoostingRegressor,1.4500596523284912,3867.321555827178,2357.0072115696444,0.8868995539055468,3816.6680261204674,2344.0648145056575,0.8890758918121044,4623.202736641068,2431.8964073317156,0.8714259888576409
