Model,3Fold_F1,3Fold_Accuracy,3Fold_Precision,3Fold_Recall,Validation_F1,Time_Seconds,5Fold_F1,5Fold_Accuracy
LogisticRegression,0.17981695622744698,0.557020516413682,0.16374956033376573,0.24983329151358527,0.17908561380371468,1.6742751598358154,,
DecisionTreeClassifier,0.247151259967666,0.3998971110951284,0.24758804173732063,0.2474554036814095,0.24831016191854594,7.083639144897461,0.25006425767438945,0.4029109589041096
RandomForestClassifier,0.18092811973066847,0.5569178224261363,0.2213691005268967,0.25014828531956906,0.18213181971495795,12.446038246154785,0.1806458341006399,0.5569520547945206
ExtraTreesClassifier,0.19727503176571703,0.5448630654065213,0.25074538999090507,0.25141119475914675,0.1916156912164503,18.768946647644043,0.19378968018402076,0.5466095890410958
GradientBoostingClassifier,0.1795124506920707,0.557363025561057,0.1905432633627345,0.24987378669395122,0.17961629680609267,55.618929862976074,,
